"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?"
studyid,initial_screening,,text,"Numero de identificacion",,,,,,,,,,,,
isstarttime,initial_screening,,text,"Hora de inicio             ",,"Hora Militar (hh:mm) (1:00pm = 13:00)",time,00:01,23:59,,,,,,,
isdate,initial_screening,,text,"Fecha del cernimiento",,MM-DD-YYYY,date_mdy,,,,,,,,,
interviewer,initial_screening,,radio,,"1, Camille Rivera | 2, Dalitza Ram",,,,,,,,,,,
isotherinterviewer,initial_screening,,text,"Nombre del Entrevistador",,,,,,,[interviewer]='7',,,,,
interest,initial_screening,,radio,,"1, S",,,,,,,,,,,
nonpartage,initial_screening,,text,"Edad del No-Participante",,"Hasta 2 d",number,18,40,,"[interest] = '0'",y,,,,
nonpartcity,initial_screening,,text,"Ciudad del No-Participante",,"35 Letras",,,,,"[interest] = '0'",,,,,
isfirstname,initial_screening,,text,"Primer Nombre",,"35 Letras",,,,y,"[interest] = '1'",y,,,,
ismidname,initial_screening,,text,"Segundo Nombre",,"35 Letras",,,,y,"[interest] = '1'",y,,,,
islastname,initial_screening,,text,"Apellido Paterno",,"35 Letras",,,,y,"[interest] = '1'",y,,,,
is2lastname,initial_screening,,text,"Apellido Materno",,"35 Letras",,,,y,"[interest] = '1'",y,,,,
isage,initial_screening,,text,,,"Edad en a",,,,,"[interest] = '1'",y,,,,
hospital,initial_screening,,radio,,"1, Hospital Universitario, San Juan | 2, Manat",,,,,,"[interest] = '1'",,,,,
hospital97,initial_screening,,text,"Por favor, especifique la ubicaci",,"35 Letras",,,,,"[hospital]='97' and [interest] = '1'",,,,,
municipality,initial_screening,,text,,,"35 Letras (Pueblo)",,,,,"[interest] = '1'",,,,,
islmprecall,initial_screening,SECCI,radio,,"1, S",,,,,,"[interest] = '1'",,,,,
islmpdate,initial_screening,,text,"Si contesta S",,MM-DD-YYYY,date_mdy,,,,"[islmprecall]='1' and [interest] = '1'",,,,,
lmpgestagew,initial_screening,,text,"Edad gestacional estimada por un profesional de la salud en base a la fecha de la ultima menstruaci",,Semanas,number,4,42,,"[interest] = '1'",y,,,,
lmpgestaged,initial_screening,,text,"Edad gestacional estimada por un profesional de la salud en base a la fecha de la ",,Dias,number,0,7,,"[interest] = '1'",,,,,
